#Absorb Elements
#Animal Friendship
#Animal Messenger (R)
#Animal Shapes
#Antilife Shell
#Antipathy/Sympathy
#Awaken
#Barkskin
#Beast Bond
#Beast Sense (R)
#Blight
#Blur
#Bones of the Earth
#Call Lightning
#Charm Person
#Cloudkill
#Commune with Nature (R)
#Cone of Cold
#Confusion
#Conjure Animals
#Conjure Elemental
#Conjure Fey
#Conjure Minor Elementals
#Conjure Woodland Beings
#Contagion
Control Flames
#Control Water
#Control Weather
#Control Winds
#Create Bonfire
#Create Food and Water
#Create or Destroy Water
#Cure Wounds
#Darkness
#Darkvision
#Daylight
#Detect Magic (R)
#Detect Poison and Disease
#Dispel Magic
#Divination (R)
#Dominate Beast
#Dream
Druidcraft
#Dust Devil
#Earth Tremor
#Earthbind
#Earthquake
#Elemental Bane
#Enhance Ability
#Entangle
#Erupting Earth
#Faerie Fire
#Feeblemind
#Feign Death (R)
#Find Traps
#Find the Path
#Fire Storm
#Flame Arrows
#Flame Blade
#Flaming Sphere
#Fog Cloud
#Foresight
#Freedom of Movement
#Frostbite
#Gaseous Form
#Geas
#Giant Insect
#Goodberry
#Grasping Vine
#Greater Invisibility
#Greater Restoration
#Guidance
#Gust
#Gust of Wind
#Hallucinatory Terrain
#Haste
#Heal
#Healing Word
#Heat Metal
#Heroes' Feast
#Hold Person
#Ice Knife
#Ice Storm
#Insect Plague
#Investiture of Flame
#Investiture of Ice
#Investiture of Stone
#Investiture of Wind
#Invisibility
#Jump
#Lesser Restoration
#Lightning Bolt
#Locate Animals or Plants (R)
#Locate Creature
#Locate Object
#Longstrider
#Maelstrom
Magic Stone
#Mass Cure Wounds
#Meld into Stone (R)
#Melf's Acid Arrow
#Mending
#Mirage Arcane
#Mirror Image
#Misty Step
#Mold Earth
#Moonbeam
#Move Earth
#Pass Without Trace
#Passwall
#Planar Binding
#Plane Shift
#Plant Growth
#Poison Spray
#Polymorph
#Primordial Ward
#Produce Flame
#Protection from Energy
#Protection from Poison
#Purify Food and Drink (R)
#Regenerate
#Reincarnate
#Resistance
#Reverse Gravity
#Scrying
#Shape Water
#Shapechange
#Shillelagh
#Silence (R)
#Skywrite (R)
#Sleet Storm
#Slow
#Speak with Animals (R)
#Speak with Plants
#Spider Climb
#Spike Growth
#Stinking Cloud
#Stone Shape
#Stoneskin
#Storm of Vengeance
#Sunbeam
#Sunburst
#Thorn Whip
#Thunderclap
#Thunderwave
#Tidal Wave
#Transmute Rock
#Transport via Plants
#Tree Stride
#True Resurrection
#Tsunami
#Wall of Fire
#Wall of Stone
#Wall of Thorns
#Wall of Water
#Warding Wind
#Water Breathing (R)
#Water Walk (R)
#Watery Sphere
#Web
#Whirlwind
#Wind Walk
#Wind Wall
